,county_state,FIPS,Economic_typology_2015,POP_ESTIMATE_2018,POVALL_2018,Unemployment_rate_2018,Density.per.square.mile.of.land.area...Population,county,state,tot_cases
1,"Abbeville, South Carolina",45001,3,24541,4545,4,51.8,Abbeville,South Carolina,1316
2,"Acadia, Louisiana",22001,0,62190,15378,5.4,94.3,Acadia,Louisiana,5288
3,"Accomack, Virginia",51001,3,32412,5552,3.8,73.8,Accomack,Virginia,1824
4,"Ada, Idaho",16001,0,469966,44434,2.5,372.8,Ada,Idaho,39691
5,"Adair, Iowa",19001,0,7063,667,2.4,13.5,Adair,Iowa,636
6,"Adair, Kentucky",21001,1,19215,4269,5.1,46,Adair,Kentucky,1243
7,"Adair, Missouri",29001,4,25339,5356,3.5,45.1,Adair,Missouri,1698
8,"Adair, Oklahoma",40001,3,22082,5372,4.2,39.6,Adair,Oklahoma,2045
9,"Adams, Colorado",8001,0,511868,46711,3.5,378.2,Adams,Colorado,41653
10,"Adams, Idaho",16003,4,4250,554,5.5,2.9,Adams,Idaho,282
11,"Adams, Illinois",17001,0,65691,7803,3.9,78.5,Adams,Illinois,6870
12,"Adams, Indiana",18001,3,35636,4056,2.6,101.4,Adams,Indiana,2743
13,"Adams, Iowa",19003,3,3645,460,1.9,9.5,Adams,Iowa,275
14,"Adams, Mississippi",28001,0,31192,8478,6.2,69.8,Adams,Mississippi,1868
15,"Adams, Nebraska",31001,0,31511,3558,2.9,55.7,Adams,Nebraska,2362
16,"Adams, North Dakota",38001,1,2294,234,2.1,2.4,Adams,North Dakota,193
17,"Adams, Ohio",39001,0,27724,5382,7.1,48.9,Adams,Ohio,1466
18,"Adams, Pennsylvania",42001,0,102811,7919,3.3,195.5,Adams,Pennsylvania,4973
19,"Adams, Washington",53001,1,19759,3046,5.4,9.7,Adams,Washington,1656
20,"Adams, Wisconsin",55001,5,20348,2924,4.7,32.3,Adams,Wisconsin,1489
21,"Addison, Vermont",50001,0,36973,3042,2.6,48,Addison,Vermont,338
22,"Aiken, South Carolina",45003,0,169401,25095,3.3,149.5,Aiken,South Carolina,9715
23,"Aitkin, Minnesota",27001,5,15902,2145,5.6,8.9,Aitkin,Minnesota,1039
24,"Alachua, Florida",12001,4,269956,50922,3.3,282.7,Alachua,Florida,16804
25,"Alamance, North Carolina",37001,0,166436,21661,3.7,356.5,Alamance,North Carolina,11119
26,"Alameda, California",6001,0,1666753,147394,3,2043.6,Alameda,California,56432
27,"Alamosa, Colorado",8003,4,16683,2954,4.2,21.4,Alamosa,Colorado,969
28,"Albany, New York",36001,4,307117,32888,3.7,581.9,Albany,New York,13112
